                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0518,                0.87738,                 1.0534,                0.78697,                0.60087,                0.69773,                0.44845,                 1.1765,                 1.0534,                 1.1067,             0.00066187,             0.00066187,             0.00066187
                      2,                  1.011,                 0.7409,                 1.0356,                0.80526,                0.69414,                0.78207,                0.50848,                  1.104,                0.85792,                 1.0523,             0.00067091,             0.00067091,             0.00067091
